grid_id,tile_id,has_osm_mask,pixels_updated,percent_updated
T10SGG_2018_7_0,T10SGG,True,19719,1.6356
T11SKA_2018_7_5,T11SKA,True,43312,3.5926
T10SFG_2018_1_3,T10SFG,True,60194,4.9929
T10SEH_2018_1_0,T10SEH,True,25807,2.1406
T10TEK_2018_9_6,T10TEK,True,33778,2.8017
T10SGG_2018_6_1,T10SGG,True,38623,3.2036
T10SEJ_2018_3_6,T10SEJ,True,18598,1.5426
T10SGF_2018_1_5,T10SGF,True,36357,3.0157
T10SGF_2018_8_6,T10SGF,True,21049,1.7459
T10SEJ_2018_3_8,T10SEJ,True,10921,0.9059
T11SKA_2018_5_4,T11SKA,True,31610,2.6219
T11SKA_2018_5_5,T11SKA,True,41099,3.409
T10SGF_2018_9_9,T10SGF,True,28578,2.3704
T10SGG_2018_6_0,T10SGG,True,15532,1.2883
T10SFH_2018_2_0,T10SFH,True,52371,4.344
T10SGF_2018_3_6,T10SGF,True,27475,2.2789
T10SGF_2018_9_8,T10SGF,True,16316,1.3533
T10SFJ_2018_9_1,T10SFJ,True,20903,1.7338
T10SFH_2018_5_1,T10SFH,True,23856,1.9788
T11SKA_2018_0_1,T11SKA,True,29748,2.4675
T11SKV_2018_8_9,T11SKV,True,44180,3.6646
T10SGF_2018_1_3,T10SGF,True,25817,2.1414
T10SGF_2018_6_4,T10SGF,True,21344,1.7704
T11SKA_2018_9_4,T11SKA,True,16513,1.3697
T11SKA_2018_8_7,T11SKA,True,29326,2.4325
T10SGG_2018_3_1,T10SGG,True,7431,0.6164
T11SKA_2018_5_9,T11SKA,True,19169,1.59
T11SKA_2018_7_7,T11SKA,True,32106,2.6631
T10SGG_2018_7_4,T10SGG,True,17720,1.4698
T10SFJ_2018_2_0,T10SFJ,True,12151,1.0079
T11SKV_2018_6_8,T11SKV,True,51191,4.2461
T10SGF_2018_7_8,T10SGF,True,35064,2.9084
T10SGF_2018_3_5,T10SGF,True,31575,2.619
T11SLV_2018_9_0,T11SLV,True,26546,2.2019
T11SKV_2018_6_9,T11SKV,True,50155,4.1602
T10SFG_2018_3_8,T10SFG,True,41957,3.4802
T11SKV_2018_5_6,T11SKV,True,19892,1.65
T10SGG_2018_9_3,T10SGG,True,25539,2.1184
T10SFJ_2018_5_1,T10SFJ,True,40009,3.3186
T10SGF_2018_2_6,T10SGF,True,42210,3.5011
T11SKA_2018_3_2,T11SKA,True,28302,2.3475
T11SKA_2018_0_3,T11SKA,True,36704,3.0444
T10SEJ_2018_4_7,T10SEJ,True,14678,1.2175
T10SGG_2018_5_0,T10SGG,True,47799,3.9647
T10SGF_2018_5_7,T10SGF,True,28265,2.3445
T11SKA_2018_6_5,T11SKA,True,71009,5.8899
T10SFJ_2018_4_2,T10SFJ,True,17174,1.4245
T10SEJ_2018_5_7,T10SEJ,True,24755,2.0533
T11SKV_2018_4_6,T11SKV,True,15174,1.2586
T10SFG_2018_7_9,T10SFG,True,18988,1.575
T10SFH_2018_3_1,T10SFH,True,26817,2.2244
T10SGF_2018_4_2,T10SGF,True,31633,2.6238
T10SEH_2018_2_9,T10SEH,True,47758,3.9613
T10SGG_2018_4_0,T10SGG,True,20943,1.7371
T11SKA_2018_7_3,T11SKA,True,44032,3.6523
T10SGF_2018_2_2,T10SGF,True,29754,2.468
T11SKV_2018_1_4,T11SKV,True,12929,1.0724
T10SFH_2018_1_1,T10SFH,True,24603,2.0407
T10SGG_2018_3_0,T10SGG,True,11646,0.966
T11SKV_2018_7_7,T11SKV,True,23188,1.9234
T10SGF_2018_5_6,T10SGF,True,21138,1.7533
T11SKA_2018_4_4,T11SKA,True,36463,3.0245
T10SFG_2018_0_4,T10SFG,True,71223,5.9077
T11SKA_2018_4_1,T11SKA,True,29861,2.4768
T10SFH_2018_7_5,T10SFH,True,36232,3.0053
T10SFH_2018_0_1,T10SFH,True,21281,1.7652
T10SEJ_2018_0_7,T10SEJ,True,25184,2.0889
